СПИСОК СОКРАЩЕНИЙ БИБЛИИ И ДУХА ПРОРОЧЕСТВА

БИБЛИЯ:

БЫТИЕ -                 Быт.
ИСХОД -                 Исх.
ЛЕВИТ -                 Лев.
ЧИСЛА -                Числ.
ВТОРОЗАКОНИЕ -         Втор. 
ИИСУС НАВИНА -          Нав.
СУДЬИ -                 Суд.
РУФЬ -                  Руф.
1-я ЦАРСТВ -          1 Цар. 
2-я ЦАРСТВ -          2 Цар.
3-я ЦАРСТВ -          3 Цар.
4-я ЦАРСТВ -          4 Цар.
1-я ПАРАЛИПОМЕНОН -   1 Пар. 
2-я ПАРАЛИПОМЕНОН -   2 Пар.
ЕЗДРА -                 Езд.
НЕЕМИЯ -               Неем.
ЕСФИРЬ -                Есф.
ИОВ -                   Иов.
ПСАЛТИРЬ -               Пс. 
ПРИТЧИ -                 Пр.
ЕККЛЕСИАСТ -           Еккл. 
ПЕСНЯ ПЕСНЕЙ -         Песн.
ИСАИЯ -                 Ис.
ИЕРЕМИЯ -               Иер.
ПЛАЧ ИЕРЕМИИ -         Плач. 
ИЕЗЕКИИЛЬ -             Иез.
ДАНИИЛ -                Дан.
ОСИЯ -                   Ос.
ИОИЛЬ -                Иоил.
АМОС -                   Ам.
АВДИЙ -                 Авд.
ИОНА -                  Ион.
МИХЕЙ -                 Мих.
НАУМ -                 Наум.
АВВАКУМ -               Авв.
СОФОНИЯ -               Соф.
АГГЕЙ -                 Агг.
ЗАХАРИЯ -               Зах.
МАЛАХИЯ -               Мал.
МАТФЕЙ -                 Мф.
МАРК -                   Мк.
ЛУКА -                   Лк.
ИОАНН -                  Ин.
ДЕЯНИЯ -               Деян.
ИАКОВА -                Иак.
1-е ПЕТРА -          1 Петр.
2-е ПЕТРА -          2 Петр.
1-е ИОАННА -           1 Ин.
2-е ИОАННА -           2 Ин.
3-е ИОАННА -           3 Ин.
ИУДЫ -                  Иуд.
РИМЛЯНАМ -              Рим.
1-е КОРИНФЯНАМ -      1 Кор. 
2-е КОРИНФЯНАМ -      2 Кор.
ГАЛАТАМ -               Гал.
ЕФЕСЯНАМ -               Еф.
ФИЛИППИЙЦАМ -           Флп.
КОЛОССЯНАМ -            Кол.
1-е ФЕССАЛОНИКИЙЦАМ - 1 Фес. 
2-е ФЕССАЛОНИКИЙЦАМ - 2 Фес.
1-е ТИМОФЕЮ -         1 Тим.
2-е ТИМОФЕЮ -         2 Тим.
ТИТУ -                  Тит.
ФИЛИМОНУ -              Флм.
ЕВРЕЯМ -                Евр.
ОТКРОВЕНИЕ -           Откр.

в поиск вводить название книги, номер главы, 
двоеточье, номер стиха. Например Дан. 7:25 



ДУХ ПРОРОЧЕСТВА:

Патриархи и пророки -                            ПП
Пророки и цари -                                 ПЦ
Желание веков -                                  ЖВ
Деяния Апостолов -                               ДА
Великая Борьба -                                 ВБ
Советы по пище и питанию -                      СПП
Воспитание детей -                               ВД
Христианский дом -                               ХД
Христианское воздержание и библейская гигиена - ХВБГ
Служение исцеления -                             СИ
Вести для молодежи -                            ВДМ
Ранние произведения -                            РП
Путь ко Христу -                                 ПХ
История спасения -                               SS (анг. раскл.)
Наглядные уроки Христа -                        НУХ
Нагорная проповедь Христа -                      НПХ
Христианское служение -                          ХС
Советы по управлению ресурсами -                СУР
Воспитание -                                      В
Служители Евангелия -                            СЕ
Пасторское служение -                            PM (анг. раскл.)
Избранные вести т1 -                            ИВ1
Избранные вести т2 -                            ИВ2
Избранные вести т3 -                            ИВ3
Свидетельства для Церкви т1 -                    Т1 (анг. раскл.)
Свидетельства для Церкви т2 -                    Т2
Свидетельства для Церкви т3 -                    Т3
Свидетельтва для Церкви т4 -                     Т4
Свидетельтва для Церкви т5 -                     Т5
Свидетельства для Церкви т6 -                    Т6
Свидетельства для Церкви т7 -                    Т7
Свидетельства для Церкви т8 -                    Т8
Свидетельства для Церкви т9 -                    Т9
Свидетельства для проповедников -                СП
Литературный евангелизм -                        ЛЕ
Советы по работе субботней школы -              ССШ
Обращение к матерям -                            ОМ
Место трав в рациональном питании -            МТРП
Законы здоровья -                                ЗЗ
Семья и здоровье -                               СЗ
Сельская жизнь -                                 СЖ
Святая жизнь -                                   HL (анг. раскл.)
Пенсионные годы -                                ПГ
Письма молодым влюбленным -                     ПМВ
Свидетельства об интимных отношениях, 
супружеской жизни, неверности и разводе -      СОИОС
Победа Божьей любви -                           ПБЛ
Живи, как Енох -                                ЖКЕ
Приготовление к последнему кризису -            ППК
Церковь и государство                   -        ЦГ
Страсти Христовы -                               СХ
Князь мира сего -                               КМС
Обетования для последних дней -                ОДПД
Разум, Характер, личность -                     РХЛ
Чему нужно учить                                ЧНУ
Голос в речи и в пении -                        ГРП


в поиск вводить абревиатуру книги и номер страницы 
(если таковой имеется). Например ЖВ 33.


